"instrumento","fabricante_categoria","arquivo","caminho","tamanho_bytes","sha256","entradas","wav","outros"
"Guitarra","Outras coleções","ZETA IR PACK.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\ZETA IR PACK.zip","196588","FF2C76CFD62C4DD340D0B18C49AA8390F45D2795707FE721E56C935840E9013D","4","4","0"
"Guitarra","Peavey","Peavey 4x10.zip","downloads\arquivos\Por modelo\Guitarra\Peavey\Peavey 4x10.zip","107484","F85B460851E4BF02892C379F611C0EC042F851666163402DF1BFD668A3AC37E0","2","2","0"
"Guitarra","Randall","Randall Cabinet.zip","downloads\arquivos\Por modelo\Guitarra\Randall\Randall Cabinet.zip","398961","09D572DE8D0FFAD9620F9A1F855079D121DE385E63E62A5A30EA94C0DDFBF9CD","17","17","0"
"Guitarra","Soldano","4x12B.zip","downloads\arquivos\Por modelo\Guitarra\Soldano\4x12B.zip","186702","D2A6FA831F9469A022C40611D10BC2735EFF85CB9C2E0015C236DF90B8B5826F","25","25","0"
"Guitarra","Vox","AC30 Bright Channel.zip","downloads\arquivos\Por modelo\Guitarra\Vox\AC30 Bright Channel.zip","733542","66EC1CCFD05F7177186B572F8D60EEADAAC43A99EE2D03F0CA50E99C365A0D02","45","45","0"
"Guitarra","Vox","AC30 Normal Channel.zip","downloads\arquivos\Por modelo\Guitarra\Vox\AC30 Normal Channel.zip","1170455","EEE93AC2F105885E1DE9A9EA6891487BA89FF29505A0B8A693E6AF3BD4D7B45B","38","38","0"
"Guitarra","Vox","AC30.zip","downloads\arquivos\Por modelo\Guitarra\Vox\AC30.zip","120197","4474F7027BC7C7D27CB133E1A889219F9AEC7DB97B7B98A8CEE020D521CD7595","5","5","0"
"Violão","Alvarez","ABT-60 Baritone.zip","downloads\arquivos\Por modelo\Violão\Alvarez\ABT-60 Baritone.zip","35335","6B2754DDEC0537AE6DC97252E1A99EBE2429C41842642D15932A55F4538694A2","6","6","0"
"Violão","Coleção D-TAR","Acoustic Shapes.zip","downloads\arquivos\Por modelo\Violão\Coleção D-TAR\Acoustic Shapes.zip","97121","DB89B2C46C64453581AE6E7916505E7228692EEAD04D00EE58570F76CAB6D0F1","16","16","0"
"Violão","Collings","D2H e OM2HA.zip","downloads\arquivos\Por modelo\Violão\Collings\D2H e OM2HA.zip","35792","BC9D8E9DF2FE9DF9CD5881CB1150239758870D8892A2AF21A15B902142D42B19","10","10","0"
"Violão","Gibson","Hummingbird.zip","downloads\arquivos\Por modelo\Violão\Gibson\Hummingbird.zip","19263","51BCCAADB90019FCC7E8DFA83C06DA13D92ACA043CB88000BAD9A9542475129E","5","5","0"
"Violão","Gibson","J-200 Jumbo.zip","downloads\arquivos\Por modelo\Violão\Gibson\J-200 Jumbo.zip","173768","E2916D0092A3EF81C573BF83F66E43548E79E24B72CDB4EB75C9E78889DC45DC","10","10","0"
"Violão","Gibson","J-45.zip","downloads\arquivos\Por modelo\Violão\Gibson\J-45.zip","12169","D892BB9048A86040A9F72391BEF34035C66D588865C352B535CB4859377BA960","4","4","0"
"Violão","Gibson","Wayne Benson Mandolin.zip","downloads\arquivos\Por modelo\Violão\Gibson\Wayne Benson Mandolin.zip","12537","8D7834B70DF36A0ED44AC3C5D8DC5C604C445B790E497F9C2C7AE0C545224235","3","3","0"
"Violão","LAVA","LAVA Nylon.zip","downloads\arquivos\Por modelo\Violão\LAVA\LAVA Nylon.zip","68812","03EBCBE1F873076191BB4F570C3039F71B22C2376BC0302A4E078DF8E8A846C1","4","4","0"
"Violão","Martin","HD-28.zip","downloads\arquivos\Por modelo\Violão\Martin\HD-28.zip","21138","020BAB8192D74CD754B94A73136833EEA7256ABBF4A142EDAE9D4903AE59EF54","6","6","0"
"Violão","Nylon","Violão clássico e Nylon Essentials.zip","downloads\arquivos\Por modelo\Violão\Nylon\Violão clássico e Nylon Essentials.zip","19652","3DDA97C5A671DD5CB4EA92B0FC0B636B498BF2F96D326F42A8248876C21B1E6D","6","6","0"
"Violão","Samick","JZ4.zip","downloads\arquivos\Por modelo\Violão\Samick\JZ4.zip","288895","7DE6D44C1EFCA16518C087EA3D7F43034DB819E9982D21D7EB2C3B336A7C26C9","15","15","0"
"Violão","Taylor","314ce.zip","downloads\arquivos\Por modelo\Violão\Taylor\314ce.zip","24137","0DED0C1CC4E5B3E5D6D49C36340F90B8A6B20A1F2DFE10686A1517D82E2E5177","8","8","0"
"Violão","Taylor","814.zip","downloads\arquivos\Por modelo\Violão\Taylor\814.zip","15530","4E2C50C87D8180CCA33FCBFD3BEB4E58423CDAF78573F6C9ED028DEEB4380527","4","4","0"
