"instrumento","arquivo_zip","arquivo_interno","extensao","tamanho_descompactado_bytes"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-ConeEdge-0in.wav",".wav","7422"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-1in.wav",".wav","4774"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-2in.wav",".wav","4890"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-1in.wav",".wav","4888"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-5in.wav",".wav","7140"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-6in.wav",".wav","8200"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-5in.wav",".wav","7138"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-ConeEdge-4in.wav",".wav","8182"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-12in.wav",".wav","8982"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-4in.wav",".wav","5008"
