"caminho","tamanho_antes","tamanho_depois","sha256_antes","sha256_depois","status"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Supermart.zip","3463","3463","80B874F9949025E94E1CD911FE82F63FD6BF9FB9EAB79E7A1A220F40C0825FD1","80B874F9949025E94E1CD911FE82F63FD6BF9FB9EAB79E7A1A220F40C0825FD1","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Waltham.zip","8655","8655","55A0BB3E122BBA1D013E371957933CD8B7C652B251362609E55672C330A6F97E","55A0BB3E122BBA1D013E371957933CD8B7C652B251362609E55672C330A6F97E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Worcester.zip","21691","21691","048E60DF0A2129C0F793FFB4BD0C16DF7F1296376E358D703DCF2461CB203B4F","048E60DF0A2129C0F793FFB4BD0C16DF7F1296376E358D703DCF2461CB203B4F","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\ZETA IR PACK.zip","196588","196588","FF2C76CFD62C4DD340D0B18C49AA8390F45D2795707FE721E56C935840E9013D","FF2C76CFD62C4DD340D0B18C49AA8390F45D2795707FE721E56C935840E9013D","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Peavey\Peavey 4x10.zip","107484","107484","F85B460851E4BF02892C379F611C0EC042F851666163402DF1BFD668A3AC37E0","F85B460851E4BF02892C379F611C0EC042F851666163402DF1BFD668A3AC37E0","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Randall\Randall Cabinet.zip","398961","398961","09D572DE8D0FFAD9620F9A1F855079D121DE385E63E62A5A30EA94C0DDFBF9CD","09D572DE8D0FFAD9620F9A1F855079D121DE385E63E62A5A30EA94C0DDFBF9CD","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Soldano\4x12B.zip","186702","186702","D2A6FA831F9469A022C40611D10BC2735EFF85CB9C2E0015C236DF90B8B5826F","D2A6FA831F9469A022C40611D10BC2735EFF85CB9C2E0015C236DF90B8B5826F","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Vox\AC30 Bright Channel.zip","733542","733542","66EC1CCFD05F7177186B572F8D60EEADAAC43A99EE2D03F0CA50E99C365A0D02","66EC1CCFD05F7177186B572F8D60EEADAAC43A99EE2D03F0CA50E99C365A0D02","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Vox\AC30 Normal Channel.zip","1170455","1170455","EEE93AC2F105885E1DE9A9EA6891487BA89FF29505A0B8A693E6AF3BD4D7B45B","EEE93AC2F105885E1DE9A9EA6891487BA89FF29505A0B8A693E6AF3BD4D7B45B","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Vox\AC30.zip","120197","120197","4474F7027BC7C7D27CB133E1A889219F9AEC7DB97B7B98A8CEE020D521CD7595","4474F7027BC7C7D27CB133E1A889219F9AEC7DB97B7B98A8CEE020D521CD7595","inalterado"
"downloads\arquivos\Por modelo\Violão\Alvarez\ABT-60 Baritone.zip","35335","35335","6B2754DDEC0537AE6DC97252E1A99EBE2429C41842642D15932A55F4538694A2","6B2754DDEC0537AE6DC97252E1A99EBE2429C41842642D15932A55F4538694A2","inalterado"
